fname	 datetime	 frames	 zdepth	 tottime (s)	 stimbouts	locnum	active cells	inverted cell flag	stimulus code	qualitative goodness (0-10)	Driver	Moving	Layer(2/4)	Stimulus Wavelength	flyID	responsivefly	Layercheck	SingleFly	PTX_5_100	Washout5mM	Washout100mM
200805_Fly3_7_Image8_pData_SIMA_only_m.mat		1800	67.12	1607415					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	577	1	0	0	0	0	0
200805_Fly3_8_Image9_pData_SIMA_only_m.mat		1800	81.55	1607415					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	577	1	0	0	0	0	0
200805_Fly4_1_Image1_pData_SIMA_only_m.mat		1800	35.1	1664601					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	578	1	0	0	0	0	0
200805_Fly4_2_Image2_pData_SIMA_only_m.mat		1800	51.08	1664601					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	578	1	0	0	0	0	0
200805_Fly4_3_Image3_pData_SIMA_only_m.mat		1800	65.08	1664601					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	578	1	0	0	0	0	0
200805_Fly4_4_Image4_pData_SIMA_only_m.mat		1800	78.75	1664601					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	578	1	0	0	0	0	0
200805_Fly4_5_Image5_pData_SIMA_only_m.mat		1800	35.53	1607148					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	578	1	0	0	0	0	0
200805_Fly5_1_Image1_pData_SIMA_only_m.mat		1800	35.62	1664419					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	579	1	0	0	0	0	0
200805_Fly5_2_Image2_pData_SIMA_only_m.mat		1800	51.78	1664419					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	579	1	0	0	0	0	0
200805_Fly5_3_Image3_pData_SIMA_only_m.mat		1800	65.75	1664419					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	579	1	0	0	0	0	0
200805_Fly5_4_Image4_pData_SIMA_only_m.mat		1800	35.03	160729					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	579	1	0	0	0	0	0
200807_Fly4_2_Image2_pData_SIMA_only_m.mat		1800	50.98	1678814					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	582	1	0	0	0	0	0
200807_Fly4_3_Image3_pData_SIMA_only_m.mat		1800	65.58	1678814					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	582	1	0	0	0	0	0
200807_Fly4_4_Image4_pData_SIMA_only_m.mat		1800	35.2	1563397					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	582	1	0	0	0	0	0
200807_Fly4_5_Image5_pData_SIMA_only_m.mat		1800	49.98	1563397					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	582	1	0	0	0	0	0
200807_Fly4_6_Image6_pData_SIMA_only_m.mat		1800	65.28	1563397					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	582	1	0	0	0	0	0
